t,x,y
5.440000,0.919075,-0.036121
5.450000,0.918696,-0.039602
5.460000,0.918283,-0.043014
5.470000,0.917836,-0.046358
5.480000,0.917356,-0.049633
5.490000,0.916844,-0.052838
5.500000,0.916300,-0.055972
5.510000,0.915724,-0.059035
5.520000,0.915119,-0.062026
5.530000,0.914484,-0.064944
5.540000,0.913820,-0.067790
5.550000,0.913129,-0.070562
5.560000,0.912410,-0.073260
5.570000,0.911664,-0.075884
5.580000,0.910892,-0.078434
5.590000,0.910095,-0.080909
5.600000,0.909274,-0.083309
5.610000,0.908429,-0.085634
5.620000,0.907562,-0.087883
5.630000,0.906672,-0.090057
5.640000,0.905761,-0.092155
5.650000,0.904829,-0.094177
5.660000,0.903878,-0.096124
5.670000,0.902907,-0.097995
5.680000,0.901918,-0.099791
5.690000,0.900911,-0.101511
5.700000,0.899888,-0.103156
5.710000,0.898848,-0.104726
5.720000,0.897794,-0.106221
5.730000,0.896724,-0.107641
5.740000,0.895641,-0.108987
5.750000,0.894545,-0.110260
5.760000,0.893436,-0.111459
5.770000,0.892316,-0.112585
5.780000,0.891185,-0.113638
5.790000,0.890043,-0.114619
5.800000,0.888893,-0.115529
5.810000,0.887733,-0.116368
5.820000,0.886565,-0.117136
5.830000,0.885391,-0.117834
5.840000,0.884209,-0.118464
5.850000,0.883021,-0.119025
5.860000,0.881829,-0.119519
5.870000,0.880631,-0.119945
5.880000,0.879430,-0.120306
5.890000,0.878225,-0.120602
5.900000,0.877018,-0.120833
5.910000,0.875809,-0.121001
5.920000,0.874598,-0.121106
5.930000,0.873387,-0.121149
5.940000,0.872176,-0.121132
5.950000,0.870965,-0.121056
5.960000,0.869755,-0.120921
5.970000,0.868546,-0.120728
5.980000,0.867340,-0.120479
5.990000,0.866137,-0.120174
6.000000,0.864937,-0.119815
6.010000,0.863741,-0.119403
6.020000,0.862549,-0.118940
6.030000,0.861362,-0.118425
6.040000,0.860181,-0.117861
6.050000,0.859005,-0.117249
6.060000,0.857836,-0.116589
6.070000,0.856674,-0.115884
6.080000,0.855518,-0.115134
6.090000,0.854371,-0.114341
6.100000,0.853232,-0.113506
6.110000,0.852101,-0.112631
6.120000,0.850979,-0.111716
6.130000,0.849867,-0.110763
6.140000,0.848764,-0.109774
6.150000,0.847671,-0.108749
6.160000,0.846589,-0.107691
6.170000,0.845518,-0.106600
6.180000,0.844457,-0.105478
6.190000,0.843408,-0.104327
6.200000,0.842371,-0.103148
6.210000,0.841345,-0.101941
6.220000,0.840332,-0.100710
6.230000,0.839331,-0.099455
6.240000,0.838343,-0.098177
6.250000,0.837368,-0.096878
6.260000,0.836406,-0.095560
6.270000,0.835457,-0.094224
6.280000,0.834521,-0.092871
6.290000,0.833599,-0.091503
6.300000,0.832691,-0.090121
6.310000,0.831797,-0.088727
6.320000,0.830917,-0.087322
6.330000,0.830051,-0.085908
6.340000,0.829199,-0.084486
6.350000,0.828361,-0.083058
6.360000,0.827537,-0.081625
6.370000,0.826728,-0.080188
6.380000,0.825934,-0.078749
6.390000,0.825153,-0.077310
6.400000,0.824387,-0.075871
6.410000,0.823636,-0.074435
6.420000,0.822899,-0.073002
6.430000,0.822176,-0.071574
6.440000,0.821467,-0.070153
6.450000,0.820773,-0.068739
6.460000,0.820092,-0.067335
6.470000,0.819426,-0.065941
6.480000,0.818774,-0.064559
6.490000,0.818135,-0.063191
6.500000,0.817510,-0.061837
6.510000,0.816898,-0.060498
6.520000,0.816300,-0.059178
6.530000,0.815714,-0.057875
6.540000,0.815142,-0.056593
6.550000,0.814583,-0.055331
6.560000,0.814035,-0.054092
6.570000,0.813501,-0.052876
6.580000,0.812978,-0.051685
6.590000,0.812467,-0.050519
6.600000,0.811967,-0.049381
6.610000,0.811479,-0.048271
6.620000,0.811002,-0.047191
6.630000,0.810535,-0.046140
6.640000,0.810079,-0.045122
6.650000,0.809633,-0.044136
6.660000,0.809196,-0.043184
6.670000,0.808769,-0.042266
6.680000,0.808351,-0.041385
6.690000,0.807941,-0.040540
6.700000,0.807540,-0.039732
6.710000,0.807146,-0.038964
6.720000,0.806760,-0.038234
6.730000,0.806381,-0.037546
6.740000,0.806009,-0.036898
6.750000,0.805643,-0.036293
6.760000,0.805283,-0.035731
6.770000,0.804929,-0.035212
6.780000,0.804579,-0.034739
6.790000,0.804234,-0.034310
6.800000,0.803893,-0.033927
6.810000,0.803555,-0.033591
6.820000,0.803221,-0.033302
6.830000,0.802889,-0.033062
6.840000,0.802559,-0.032869
6.850000,0.802231,-0.032726
6.860000,0.801904,-0.032633
6.870000,0.801578,-0.032590
6.880000,0.801252,-0.032597
6.890000,0.800926,-0.032656
6.900000,0.800599,-0.032766
6.910000,0.800271,-0.032928
6.920000,0.799940,-0.033143
6.930000,0.799608,-0.033410
6.940000,0.799272,-0.033730
6.950000,0.798933,-0.034103
6.960000,0.798590,-0.034530
6.970000,0.798242,-0.035010
6.980000,0.797889,-0.035545
6.990000,0.797531,-0.036133
7.000000,0.797167,-0.036776
7.010000,0.796795,-0.037473
7.020000,0.796417,-0.038224
7.030000,0.796031,-0.039030
7.040000,0.795636,-0.039889
7.050000,0.795233,-0.040804
7.060000,0.794820,-0.041772
7.070000,0.794397,-0.042795
7.080000,0.793964,-0.043872
7.090000,0.793520,-0.045002
7.100000,0.793064,-0.046186
7.110000,0.792596,-0.047424
7.120000,0.792115,-0.048715
7.130000,0.791621,-0.050059
7.140000,0.791114,-0.051455
7.150000,0.790592,-0.052904
7.160000,0.790055,-0.054405
7.170000,0.789504,-0.055957
7.180000,0.788936,-0.057561
7.190000,0.788352,-0.059215
7.200000,0.787752,-0.060919
7.210000,0.787134,-0.062673
7.220000,0.786498,-0.064476
7.230000,0.785844,-0.066327
7.240000,0.785171,-0.068227
7.250000,0.784479,-0.070173
7.260000,0.783768,-0.072167
7.270000,0.783036,-0.074206
7.280000,0.782283,-0.076291
7.290000,0.781510,-0.078420
7.300000,0.780715,-0.080592
7.310000,0.779898,-0.082808
7.320000,0.779059,-0.085066
7.330000,0.778196,-0.087366
7.340000,0.777311,-0.089705
7.350000,0.776402,-0.092085
7.360000,0.775469,-0.094503
7.370000,0.774512,-0.096959
7.380000,0.773530,-0.099451
7.390000,0.772523,-0.101980
7.400000,0.771490,-0.104543
7.410000,0.770432,-0.107141
7.420000,0.769347,-0.109771
7.430000,0.768236,-0.112433
7.440000,0.767099,-0.115125
7.450000,0.765934,-0.117847
7.460000,0.764742,-0.120598
7.470000,0.763522,-0.123376
7.480000,0.762274,-0.126180
7.490000,0.760998,-0.129010
7.500000,0.759694,-0.131863
7.510000,0.758361,-0.134740
7.520000,0.756999,-0.137637
7.530000,0.755608,-0.140556
7.540000,0.754188,-0.143493
7.550000,0.752738,-0.146448
7.560000,0.751259,-0.149420
7.570000,0.749749,-0.152408
7.580000,0.748210,-0.155410
7.590000,0.746641,-0.158424
7.600000,0.745042,-0.161450
7.610000,0.743412,-0.164487
7.620000,0.741752,-0.167533
7.630000,0.740062,-0.170586
7.640000,0.738340,-0.173646
7.650000,0.736589,-0.176711
7.660000,0.734806,-0.179780
7.670000,0.732993,-0.182852
7.680000,0.731149,-0.185925
7.690000,0.729274,-0.188997
7.700000,0.727369,-0.192069
